Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track,Streaming Popularity,Total Streams
MILLION DOLLAR BABY,Million Dollar Baby - Single,Tommy Richman,2024-04-26,QM24S2402528,1,725.4,390470936,"30,716","196,631,588",92.0,84274754,"1,713,126","5,767,700",651565900,5332281936,"150,597,040",210.0,"40,975",684,62.0,"17,598,718",114.0,18004655,"22,931",4818457,2669262,,0,184627502.0,5829850738
Not Like Us,Not Like Us,Kendrick Lamar,2024-05-04,USUG12400910,2,545.9,323703884,"28,113","174,597,137",92.0,116347040,"3,486,739","674,700",35223547,208339025,"156,380,351",188.0,"40,778",3,67.0,"10,422,430",111.0,7780028,"28,444",6623075,1118279,,1,38172239.5,662793052
i like the way you kiss me,I like the way you kiss me,Artemas,2024-03-19,QZJ842400387,3,538.4,601309283,"54,331","211,607,669",92.0,122599116,"2,228,730","3,025,400",275154237,3369120610,"373,784,955",190.0,"74,333",536,136.0,"36,321,847",172.0,5022621,"5,639",7208651,5285340,,0,100759696.25,4105260281
Flowers,Flowers - Single,Miley Cyrus,2023-01-12,USSM12209777,4,444.9,2031280633,"269,802","136,569,078",85.0,1096100899,"10,629,796","7,189,811",1078757968,14603725994,"3,351,188,582",394.0,"1,474,799","2,182",264.0,"24,684,248",210.0,190260277,"203,384",0,11822942,,0,546670473.5,17921367803
Houdini,Houdini,Eminem,2024-05-31,USUG12403398,5,423.3,107034922,"7,223","151,469,874",88.0,77373957,"3,670,188","16,400",0,0,"112,763,851",182.0,"12,185",1,82.0,"17,660,624",105.0,4493884,"7,006",207179,457017,,1,19457765.5,189109942
Lovin On Me,Lovin On Me,Jack Harlow,2023-11-10,USAT22311371,6,410.1,670665438,"105,892","175,421,034",83.0,131148091,"1,392,593","4,202,367",214943489,2938686633,"2,867,222,632",138.0,"522,042","4,654",86.0,"17,167,254",152.0,138529362,"50,982",9438601,4517131,,1,87652198.5,3888468125
Beautiful Things,Beautiful Things,Benson Boone,2024-01-18,USWB12307016,7,407.2,900158751,"73,118","201,585,714",86.0,308723145,"4,120,760",,29584940,534915313,"4,601,579,812",280.0,"383,478",429,168.0,"48,197,850",154.0,65447476,"57,372",0,9990302,,0,87074618.25,1809244685
Gata Only,Gata Only,FloyyMenor,2024-02-02,QZL382406049,8,375.8,675079153,"40,094","211,236,940",92.0,228382568,"1,439,495","3,500,000",338546668,3804584163,"2,112,581,620",160.0,"17,221",30,87.0,"33,245,595",53.0,3372428,"5,762",0,6063523,,1,143248212.75,4711418312
BAND4BAND (feat. Lil Baby),BAND4BAND (feat. Lil Baby),Central Cee,2024-05-23,USSM12404354,10,330.6,90676573,"10,400","184,199,419",86.0,32735244,"988,682","325,800",121574500,974656200,"174,706,874",191.0,"3,823",117,78.0,"10,800,098",92.0,1005626,842,3679709,666302,,1,38744033.0,1102753352
I Had Some Help (feat. Morgan Wallen),I Had Some Help,Post Malone,2024-05-10,USUM72404990,11,322.1,250080413,"16,219","168,766,158",91.0,32229063,"550,191",,184500,2100000,"327,130,768",157.0,"62,312",71,60.0,"12,009,073",114.0,23155471,"21,172",1594605,963413,,1,8344266.75,309159552
